ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
4168101;20632;5;None;-1;2;Human;5.0;pIC50;=;5.0;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;405;5;1;3;5.5;O=C(OC(C(=O)Nc1cccc(C(F)(F)F)c1)c1ccccc1)C1CCCCC1;nan
CHEMBL1310437;20632;5;None;-1;2;Human;5.0;pIC50;=;5.0;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;405;5;1;3;5.5;O=C(OC(C(=O)Nc1cccc(C(F)(F)F)c1)c1ccccc1)C1CCCCC1;nan
2794045;31318;9;None;-1;2;Human;4.9;pIC50;=;4.9;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;279;4;1;1;4.6;O=C(Nc1ccccc1)C(c1ccccc1)C1CCCC1;nan
CHEMBL1404080;31318;9;None;-1;2;Human;4.9;pIC50;=;4.9;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;279;4;1;1;4.6;O=C(Nc1ccccc1)C(c1ccccc1)C1CCCC1;nan
2353214;28820;7;None;3;2;Human;5.9;pIC50;=;5.9;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;387;6;1;2;5.7;O=C(Nc1ccc(OC(F)F)c(Cl)c1)C(c1ccccc1)c1ccccc1;nan
CHEMBL1380914;28820;7;None;3;2;Human;5.9;pIC50;=;5.9;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;387;6;1;2;5.7;O=C(Nc1ccc(OC(F)F)c(Cl)c1)C(c1ccccc1)c1ccccc1;nan
3893874;33698;5;None;-1;2;Human;4.9;pIC50;=;4.9;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;397;5;1;4;5.4;Cc1cc(C(=O)OC(C(=O)Nc2ccc(C)c(Cl)c2)c2ccccc2)c(C)o1;nan
CHEMBL1424117;33698;5;None;-1;2;Human;4.9;pIC50;=;4.9;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;397;5;1;4;5.4;Cc1cc(C(=O)OC(C(=O)Nc2ccc(C)c(Cl)c2)c2ccccc2)c(C)o1;nan
5038554;45884;5;None;-1;2;Human;4.9;pIC50;=;4.9;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;318;4;1;3;4.3;Cc1ccc(NC(=O)C(C)c2ccc([N+](=O)[O-])cc2)cc1Cl;nan
CHEMBL1534431;45884;5;None;-1;2;Human;4.9;pIC50;=;4.9;Functional;PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485]PUBCHEM_BIOASSAY:CounterscreenassayforS1P3antagonists:Doseresponsecell-basedhighthroughputscreeningassaytoidentifyantagonistsofthe5-HydroxytryptamineReceptorSubtype1E(5HT1E).(Classofassay:confirmatory)[Relatedpubchemassays:1429,485];ChEMBL;318;4;1;3;4.3;Cc1ccc(NC(=O)C(C)c2ccc([N+](=O)[O-])cc2)cc1Cl;nan
